Reading Datetime	Min_Temperature (*C)	Max_Temperature (*C)	Avg_Temperature (*C)	Sum_Precipitation (mm)	Min_Humidity (%)	Max_Humidity (%)	Avg_Humidity (%)	Avg_Wind_Direction (deg)	Avg_Wind_Gust (km/h)	Min_Wind_Speed (km/h)	Max_Wind_Speed (km/h)	Avg_Wind_Speed (km/h)	Avg_Solar_Radiation (wat/m2)	Avg_Soil_Moisture_A (kPa)	Avg_Soil_Moisture_B (kPa)	
10-Feb-2006	21.7	29.9	24.797916730244953	4.559999942779541	68.3	100	90.13125006357829	245.5249988436699	9.7	0	1.6	0.033333333830038704	119.36458254853885	0	0	
11-Feb-2006	21.7	31.6	24.962500055631	0.5099999904632568	59.6	100	88.01875011126201	256.36458174387616	9.7	0	1.6	0.10000000149011612	179.65625019868216	0	0	
12-Feb-2006	22.5	33.6	26.197916666666668	0	42	100	82.90625031789143	258.47916920979816	8	0	0	0	229.89791587988535	0	0	
13-Feb-2006	22.5	27.6	24.2854167620341	3.299999952316284	77.3	99.5	93.22291628519694	162.27916528781256	6.4	0	0	0	113.59791855017345	0	0	
14-Feb-2006	19.4	23.7	21.206250150998432	68.82999920845032	97.1	100	99.53541644414265	230.3624990383784	14.5	0	3.2	0.46666667362054187	18.014583319425583	0	0	
15-Feb-2006	19	29.5	23.327083269755047	0.25	63.6	100	88.77499930063884	161.2937494913737	6.4	0	1.6	0.033333333830038704	215.80624667803446	0	0	
16-Feb-2006	20.2	32.8	25.33958347638448	0	49.1	100	84.774999777476	152.77917003631592	6.4	0	1.6	0.033333333830038704	218.62708369890848	0	0	
17-Feb-2006	21.3	34.9	27.052083532015484	0	49.3	100	80.84583338101704	256.731253306071	9.7	0	0	0	287.25833917657536	0.22916666666666666	0.22916666666666666	
18-Feb-2006	21.7	32	24.97083330154419	0	62.3	100	91.07291642824809	245.94374974568686	9.7	0	1.6	0.23333333681027094	200.97916842500368	6.604166666666667	6.604166666666667	
19-Feb-2006	21	33.2	24.404166618982952	2.2799999713897705	60.1	100	89.80624922116597	154.57708195845285	20.9	0	1.6	0.033333333830038704	200.981252014637	11.583333333333334	11.583333333333334	
20-Feb-2006	21	32	25.672916849454243	0.25	57.7	100	86.36666663487752	243.75416918595633	6.4	0	0	0	248.2854140897592	13.104166666666666	13.104166666666666	
21-Feb-2006	22.5	32.4	25.69375006357829	2.2799999713897705	54	100	88.81874982515971	188.4354201157888	9.7	0	1.6	0.06666666766007741	201.46875104308128	15.3125	15.3125	
22-Feb-2006	23.3	30.4	25.31041677792867	4.319999933242798	73.5	100	92.80416647593181	127.88958390553792	4.8	0	0	0	123.16250036160152	15.75	15.75	
23-Feb-2006	21.3	32.4	26.256249944369	0	55.9	100	83.38541674613953	131.54166738688946	11.3	0	1.6	0.30000000447034836	196.56458218892416	15.208333333333334	15.208333333333334	
24-Feb-2006	21.3	34.1	27.083333492279053	0	44.1	100	78.8583333492279	211.10208649436632	17.7	0	1.6	0.36666667213042575	317.3999977509181	17.3125	17.3125	
25-Feb-2006	20.2	31.6	23.647916793823242	4.569999933242798	66.4	99.5	91.49374961853027	275.25624763965607	14.5	0	3.2	0.23333333681027094	96.43958308299382	19.75	19.75	
26-Feb-2006	19	21.3	20.233333349227905	54.85999941825867	97.1	100	99.3708332379659	293.2479146768649	8	0	1.6	0.033333333830038704	29.28958327571551	1.3125	1.3125	
27-Feb-2006	19.8	30.8	23.25000023841858	19.549999713897705	62.6	100	93.57708326975505	308.33333643277484	11.3	0	1.6	0.033333333830038704	120.95624887943268	0.0625	0.0625	
28-Feb-2006	21.7	31.6	25.39791675408681	0	56.2	100	85.73541609446208	266.43333398054045	19.3	0	1.6	0.30000000447034836	207.6041684349378	0	0	
1-Mar-2006	21	31.6	25.981249888737995	0.5	56.6	100	83.85416626930237	154.94999976952872	9.7	0	1.6	0.10000000149011612	273.160417119662	0.041666666666666664	0.041666666666666664	
2-Mar-2006	22.1	32.8	26.854166865348816	0	56.3	100	81.11041657129924	205.48749844233194	11.3	0	1.6	0.10000000149011612	281.7395835320155	0.0625	0.0625	
3-Mar-2006	23.3	32.4	26.10416654745738	0	61.9	99.5	84.93541598320007	175.42291446526846	9.7	0	1.6	0.20000000298023224	179.53333351016045	5.333333333333333	5.333333333333333	
4-Mar-2006	22.1	32.4	24.202083349227905	9.650000095367432	61.5	100	92.37708234786987	190.6374989748001	14.5	0	1.6	0.06666666766007741	190.197916607062	10.479166666666666	10.479166666666666	
5-Mar-2006	21.7	33.6	25.929166793823242	0.7599999904632568	55.6	100	89.67083326975505	277.8854185740153	11.3	0	1.6	0.033333333830038704	222.5500007470449	5.333333333333333	5.333333333333333	
6-Mar-2006	22.5	34.5	27.37500011920929	0.25	52.7	100	82.0104165871938	185.12916644414267	11.3	0	1.6	0.033333333830038704	283.94583278894424	9.479166666666666	9.479166666666666	
7-Mar-2006	22.9	33.2	26.6604167620341	0.25	56.8	99.5	85.50416652361552	204.46458085378012	9.7	0	1.6	0.10000000149011612	216.53958447774252	13.270833333333334	13.270833333333334	
8-Mar-2006	22.1	32	26.316666563351948	0.25	59	100	84.44791650772095	205.78541709979376	14.5	0	3.2	0.30000000447034836	282.9708355863889	16.4375	16.4375	
9-Mar-2006	22.1	33.2	26.608333071072895	0	52.2	99.5	83.60208304723103	139.7291670938333	9.7	0	1.6	0.13333333532015482	237.37499882777533	18.895833333333332	18.895833333333332	
10-Mar-2006	22.9	34.1	27.637500007947285	0	49.4	100	81.40416638056438	159.81041638801494	9.7	0	1.6	0.033333333830038704	237.98749804496765	21.166666666666668	21.166666666666668	
11-Mar-2006	22.5	33.6	26.706250031789143	0	46.7	99.5	81.08749945958455	223.29791363080344	6.4	0	1.6	0.06666666766007741	265.56875024239224	23.520833333333332	23.520833333333332	
12-Mar-2006	21.3	32.4	25.508333325386047	0	58	100	86.84791644414265	245.97082787752151	6.4	0	0	0	183.4541655977567	25.916666666666668	25.916666666666668	
13-Mar-2006	22.5	31.2	24.987499793370564	0.7599999904632568	66.6	100	91.67291609446208	101.48541734119256	11.3	0	0	0	120.09583402673404	27.9375	27.9375	
14-Mar-2006	22.1	32.4	25.762499928474426	0	56.2	100	86.29166634877522	220.61874880393347	11.3	0	1.6	0.23333333681027094	173.5270842909813	29.1875	29.1875	
15-Mar-2006	21.3	31.2	24.325000047683716	0.75	65.4	100	91.43333371480306	221.49583275119463	12.9	0	1.6	0.10000000149011612	136.51666677991548	30.291666666666668	30.291666666666668	
16-Mar-2006	21	30.4	24.647916515668232	0	66.6	100	88.59583298365276	125.67083517710368	8	0	0	0	139.5812497138977	31.166666666666668	31.166666666666668	
17-Mar-2006	22.1	31.2	25.53125	0	67.2	100	89.07708326975505	128.75625276565552	9.7	0	1.6	0.13333333532015482	159.80000073711076	33.020833333333336	33.020833333333336	
18-Mar-2006	22.1	30.4	25.15416657924652	10.90999984741211	63	100	88.8624997138977	167.30208375056586	9.7	0	1.6	0.033333333830038704	150.12083392341933	34	34	
19-Mar-2006	22.5	30.8	24.395833094914753	1.2699999809265137	63.4	100	91.58541663487752	186.55833242336908	8	0	0	0	124.2625009616216	32.604166666666664	32.604166666666664	
