"","Principal","Taxon.NombreActual","NombreMemoria","Name2015","Notes","CODIGO","Familia","Family.APG.IV.","Familia_APGIII..Stevens2015.","CodigoPBDY_14","CodigoPBDY_10","CodigoPBDY_09","Forma_2015","FormaPBDY_2011","FormaPBDY_2007","Forma_MV_2012","FormaSSP"
"660","si","Neea 'bajio'","Neea 'bajio'","","","NEEABA","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae","NEEABA","NEEABA","NEEABA","TU","U","U","U","S"
"661","si","Neea 'claudia'","Neea 'tela'","","","NEEATE","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae","NEEACL","NEEACL","NEEACL","SL","S","M","S",""
"662","si","Neea 'comun'","Neea 'comun'","","","NEEACO","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae","NEEACO","NEEACO","NEEACO","TM","M","M","M","U"
"663","si","Neea 'garci'","Neea 'garci'","","","NEEAGA","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae","NEEAGA","NEEAGA","NEEAGA","TC","T","T","M","M"
"664","si","Neea 'paty'","Neea 'paty'","","","NEEAPA","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae","NEEAPA","NEEAPA","NEEAPA","SL","S","S","S","S"
"665","si","Neea 'supercrasa'","Neea 'supercrasa'","","","NEEASU","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae","NEEASU","NEEASU","NEEASU","TC","T","T","T","S"
"666","si","Cathedra acuminata","Cathedra acuminata","","","CATHAC","Olacaceae","Olacaceae","Olacaceae (Aptandraceae)","CATHAC","CATHAC","CATHAC","TC","T","T","T","M"
"667","si","Dulacia candida","Dulacia candida","","","DULACA","Olacaceae","Olacaceae","Olacaceae (Olacaceae)","DULACA","DULACA","DULACA","TU","U","U","U",""
"668","si","Heisteria acuminata","Heisteria acuminata","","","HEISAC","Olacaceae","Olacaceae","Olacaceae (Erythropalaceae)","HEISAC","HEISAC","HEISAC","TU","U","U","U",""
"669","si","Heisteria 'grande'","Heisteria 'grande'","","","HEISGR","Olacaceae","Olacaceae","Olacaceae (Erythropalaceae)","HEISGR","HEISGR","HEISGR","TM","M","M","M",""
"670","si","Heisteria nitida","Heisteria nitida","","","HEISNI","Olacaceae","Olacaceae","Olacaceae (Erythropalaceae)","HEISNI","HEISNI","HEISNI","TC","T","T","M","U"
"671","si","Heisteria scandens","Heisteria scandens","","","HEISSC","Olacaceae","Olacaceae","Olacaceae (Erythropalaceae)","","","","CW","","","V-lenosa",""
"672","si","Minquartia guianensis","Minquartia guianensis","","","MINQGU","Olacaceae","Olacaceae","Olacaceae (Coulaceae)","MINQGU","MINQGU","MINQGU","TC","T","T","M","M"
"673","si","Schoepfia  lucida","Agonandra 'trespromin'","","","AGONTR","Olacaceae","Schoepfiaceae","Schoepfiaceae","SCHPLU","SCHPLU","SCHPLU","TM","M","M","M",""
"674","si","Agonandra silvatica","Agonandra 'gordito'","","","AGONGO","Opiliaceae","Opiliaceae","Opiliaceae","AGONSI","AGONSI","AGONSI","TC","T","T","T","M"
"675","si","Orchidaceae sp. A","Orchidaceae sp. A","","","ORC_A","Orchidaceae","Orchidaceae","Orchidaceae","","","","EH","","","HE-no lenosa",""
"676","si","Orchidaceae sp. D","Orchidaceae sp. D","","","ORC_D","Orchidaceae","Orchidaceae","Orchidaceae","","","","EH","","","HE-no lenosa",""
"677","si","Orchidaceae sp. F","Orchidaceae sp. F","","","ORC_F","Orchidaceae","Orchidaceae","Orchidaceae","","","","EH","","","HE-no lenosa",""
"678","si","Orchidaceae sp. Q","Orchidaceae sp. Q","","","ORC_Q","Orchidaceae","Orchidaceae","Orchidaceae","","","","EH","","","HE-no lenosa",""
"679","si","Dilkea parviflora","Dilkea parviflora","","","DILKP1","Passifloraceae","Passifloraceae","Passifloraceae","DILKPA","DILKPA","DILKPA","TU","U","S","U",""
"680","si","Passiflora auriculata","Passiflora auriculata","","","PASSAU","Passifloraceae","Passifloraceae","Passifloraceae","","","","CW","","","V-lenosa",""
"681","si","Passiflora sp. B","Passiflora sp. B","","","PASS_B","Passifloraceae","Passifloraceae","Passifloraceae","","","","CW","","","V-lenosa",""
"682","si","Passiflora sp. C","Passiflora sp. C","","","PASS_C","Passifloraceae","Passifloraceae","Passifloraceae","","","","CW","","","V-lenosa",""
"683","si","Phytolacca rivenoides","Phytyolacca rivenoides","","","PHY2RI","Phytolaccaceae","Phytolaccaceae","Phytolaccaceae","","","","XT","","","L-no lenosa",""
"684","si","Trichostigma octandrum","Trichostigma octandrum","","","TRI5OC","Phytolaccaceae","Petiveriaceae","Phytolaccaceae (Rivinaceae)","","","","CH","","V","V-no lenosa","V"
"685","si","Picramnia 'mini'","Picramnia 'mini'","","","PICRMI","Picramniaceae","Picramniaceae","Picramniaceae","PICRMI","PICRMI","PICRMI","TU","U","U","U",""
"686","si","Picramnia sellowii subsp. spruceana","Picramnia sellowii","","","PICRSE","Picramniaceae","Picramniaceae","Picramniaceae","PICRSE","PICRSE","PICRSE","TU","U","U","U","S"
"687","si","Picramnia sp. G","Picramnia sp. G","","","PICR_G","Picramniaceae","Picramniaceae","Picramniaceae","","","","EH","","","U",""
"688","si","Peperomia macrostachya","Peperomia macrostachya","","","PEPEMA","Piperaceae","Piperaceae","Piperaceae","","","","EH","","","HE-no lenosa",""
"689","si","Peperomia serpens","Peperomia serpens","","","PEPESE","Piperaceae","Piperaceae","Piperaceae","","","","EH","","","HE-no lenosa",""
"690","si","Peperomia sp. A","Peperomia sp. A","","","PEPE_A","Piperaceae","Piperaceae","Piperaceae","","","","EH","","","HE-no lenosa",""
"691","si","Peperomia sp. O","Peperomia sp. O","","","PEPE_O","Piperaceae","Piperaceae","Piperaceae","","","","EH","","","HE-no lenosa",""
"692","si","Peperomia sp. P","Peperomia sp. P","","","PEPE_P","Piperaceae","Piperaceae","Piperaceae","","","","EH","","","HE-no lenosa",""
"693","si","Piper 'obchic'","Piper 'obchic'","","","PIPEO1","Piperaceae","Piperaceae","Piperaceae","PIPEOC","PIPEOC","PIPEOC","SL","S","S","S","S"
"694","si","Piper sp. J","Piper sp. J","","","PIPE_J","Piperaceae","Piperaceae","Piperaceae","","","","S?","","","",""
"695","si","Moutabea aculeata","Moutabea aculeata","","","MOUTAC","Polygalaceae","Polygalaceae","Polygalaceae","","","","CW","","V","V-lenosa",""
"696","si","Securidaca sp.","Banisteriopsis lucida cf.","","","BANILU","Polygalaceae","Polygalaceae","Polygalaceae","","","","CW","","","V-lenosa liana",""
"697","si","Coccoloba densifrons","Coccoloba densifrons","","","COCCDE","Polygonaceae","Polygonaceae","Polygonaceae","COCCDE","COCCDE","COCCDE","TM","M","T","M","M"
"698","si","Coccoloba 'lancifuzz'","Coccoloba 'lancifuzz'","","","COCCLA","Polygonaceae","Polygonaceae","Polygonaceae","COCCLA","COCCLA","COCCLA","TC","T","T","T","M"
"699","si","Coccoloba 'ninfi'","Coccoloba 'ninfi'","","","COCCNI","Polygonaceae","Polygonaceae","Polygonaceae","COCCNI","COCCNI","COCCNI","TC","T","T","T","T"
"700","si","Coccoloba 'puntoblanco'","Coccoloba 'puntoblanco'","","","COCCP1","Polygonaceae","Polygonaceae","Polygonaceae","COCCPB","COCCPB","COCCPB","TU","U","U","U",""
"701","si","Coccoloba sp. B","Coccoloba sp. B","","","COCC_B","Polygonaceae","Polygonaceae","Polygonaceae","","","","T?","","","M",""
"702","si","Triplaris dugandii","Triplaris americana","","","TRI4AM","Polygonaceae","Polygonaceae","Polygonaceae","TRIPDU","TRIPDU","TRIPDU","TM","M","M","T","M"
"703","si","Quiina florida","Quiina florida","","","QUIIFL","Quiinaceae","Ochnaceae","Ochnaceae","QUIIFL","QUIIFL","QUIIFL","TM","M","M","M","U"
"704","si","Quiina 'grande' (cf. macrophylla)","Quiina 'grande'","","","QUIIG1","Quiinaceae","Ochnaceae","Ochnaceae","QUIIGR","QUIIGR","QUIIGR","TM","M","U","M",""
"705","si","Gouania colombiana","Gouania colombiana","","","GOUACO","Rhamnaceae","Rhamnaceae","Rhamnaceae","","","","CW","","","V-lenosa",""
"706","si","Gouania 'glandulosa'","Gouania lupuloides","","","GOUALU","Rhamnaceae","Rhamnaceae","Rhamnaceae","","","","CW","","","V-lenosa",""
"707","si","Ziziphus cinnamomum","Zizyphus cinnamomum","","","ZIZYCI","Rhamnaceae","Rhamnaceae","Rhamnaceae","ZIZICI","ZIZICI","ZIZICI","TC","T","T","T",""
"708","si","Prunus debilis","Prunus debilis","","","PRUNDE","Rosaceae","Rosaceae","Rosaceae","PRUNDE","PRUNDE","PRUNDE","TC","T","T","T","T"
"709","si","Agouticarpa curviflora","Alibertia 'nuevadoris'","Agouticarpa curviflora","","ALIBNU","Rubiaceae","Rubiaceae","Rubiaceae","AGOUCU","AGOUCU","AGOUCU","SL","S","S","S","U"
"710","si","Agouticarpa isernii","Borojoa 'axiglab'","Agouticarpa isernii","","BOROA1","Rubiaceae","Rubiaceae","Rubiaceae","AGOUIS","AGOUIS","AGOUIS","TM","M","M","M","U"
"711","si","Alseis lugonis","Alseis 'comun'","Alseis lugonis","","ALSECO","Rubiaceae","Rubiaceae","Rubiaceae","ALSECO","ALSECO","ALSECO","TC","T","T","T","T"
"712","si","Alibertia duckeana","Borojoa 'axipub'","Alibertia duckeana","","BOROA2","Rubiaceae","Rubiaceae","Rubiaceae","BOROCL","BOROCL","BOROCL","TM","M","M","M",""
"713","si","Coussarea dulcifolia","Coussarea dulcifolia","Coussarea dulcifolia","","COU5DU","Rubiaceae","Rubiaceae","Rubiaceae","COUSDU","COUSDU","COUSDU","SL","S","S","S",""
"714","si","Duroia hirsuta","Duroia hirsuta","Duroia hirsuta","","DUROHI","Rubiaceae","Rubiaceae","Rubiaceae","DUROHI","DUROHI","DUROHI","TU","U","U","U","U"
"715","si","Faramea capillipes","Faramea capillipes","Faramea capillipes","","FARACA","Rubiaceae","Rubiaceae","Rubiaceae","FARACA","FARACA","FARACA","TU","U","S","U","S"
"716","si","Faramea quinqueflora","Faramea quinqueflora","Faramea quinqueflora","","FARAQU","Rubiaceae","Rubiaceae","Rubiaceae","FARAQU","FARAQU","FARAQU","SL","S","S","S","S"
"717","si","Faramea sp. B","Faramea sp. B","Faramea sp. B","","FARA_B","Rubiaceae","Rubiaceae","Rubiaceae","","","","T?","","","S","S"
"718","si","Faramea sp. G","Faramea sp. G","Faramea sp. G","","FARA_G","Rubiaceae","Rubiaceae","Rubiaceae","","","","T?","","","S","S"
"719","si","Faramea torquata","Faramea 'crasa'","Faramea torquata","","FARACR","Rubiaceae","Rubiaceae","Rubiaceae","FARATO","FARATO","FARATO","TM","M","M","M","S"
"720","si","Genipa americana","Genipa americana","Genipa americana","","GENIAM","Rubiaceae","Rubiaceae","Rubiaceae","GENIAM","GENIAM","GENIAM","TC","T","T","T","M"
"721","si","Guettarda comata","Psychotria sp. F","Guettarda comata","","PSYC_F","Rubiaceae","Rubiaceae","Rubiaceae","","","","CW","","V","M [?L]",""
"722","si","Ixora acuminatissima","Ixora acuminatissima","Ixora acuminatissima","","IXORAC","Rubiaceae","Rubiaceae","Rubiaceae","IXORAC","IXORAC","IXORAC","SL","S","S","S","S"
"723","si","Ixora killipii","Ixora killipii","Ixora killipii","","IXORKI","Rubiaceae","Rubiaceae","Rubiaceae","IXORKI","IXORKI","IXORKI","TU","U","S","S",""
"724","si","Ixora panurensis","Ixora panurensis","Ixora panurensis","","IXORPA","Rubiaceae","Rubiaceae","Rubiaceae","IXORPA","IXORPA","IXORPA","SL","S","S","S","S"
"725","si","Kutchubaea semisericea","Kotchubaea semisericea","Kutchubaea semisericea","","KOTCSE","Rubiaceae","Rubiaceae","Rubiaceae","KOTCSE","KOTCSE","KOTCSE","TM","M","M","M","U"
"726","si","Malanea ecuadorensis","Malanea 'ciliata'","Malanea ecuadorensis","","MALACI","Rubiaceae","Rubiaceae","Rubiaceae","","","","CW","","V","V-lenosa","S"
"727","si","Notopleura macrophylla","Notopleura macrophylla","Notopleura macrophylla","","NOTOMA","Rubiaceae","Rubiaceae","Rubiaceae","NOTOMA","NOTOMA","NOTOMA","SL","S","S","S",""
"728","si","Palicourea grandiflora","Palicourea grandiflora","Palicourea grandiflora","","PALIGR","Rubiaceae","Rubiaceae","Rubiaceae","PALIGR","PALIGR","PALIGR","SL","S","S","S","S"
"729","si","Palicourea guianensis","Palicourea guianensis","Palicourea guianensis","","PALIGU","Rubiaceae","Rubiaceae","Rubiaceae","PALIGU","PALIGU","PALIGU","SL","S","S","S",""
"730","si","Palicourea nigricans","Palicourea nigricans","Palicourea nigricans","","PALINI","Rubiaceae","Rubiaceae","Rubiaceae","PALINI","PALINI","PALINI","SL","S","S","M","S"
"731","si","Pentagonia amazonica","Pentagonia parvifolia","Pentagonia amazonica","","PEN1PA","Rubiaceae","Rubiaceae","Rubiaceae","PENTPA","PENTPA","PENTPA","TC","T","T","M","M"
"732","si","Pentagonia sphathicalyx","Pentagonia 'mediana'","Pentagonia sphathicalyx","","PEN1ME","Rubiaceae","Rubiaceae","Rubiaceae","PENTWU","PENTWU","PENTWU","TM","M","M","M",""
"733","si","Pentagonia 'subauric' (cf. williamsii)","Pentagonia 'subauric'","Pentagonia 'subauric'","","PEN1SU","Rubiaceae","Rubiaceae","Rubiaceae","PENTSU","PENTSU","PENTSU","SL","S","S","S","S"
"734","si","Posoqueria latifolia","Posoqueria latifolia","Posoqueria latifolia","","POSOLA","Rubiaceae","Rubiaceae","Rubiaceae","POSOLA","POSOLA","POSOLA","TM","M","M","M","M"
"735","si","Psychotria hoffmannseggiana","Psychotria 'baijo'","Psychotria hoffmannseggiana","","PSYCBA","Rubiaceae","Rubiaceae","Rubiaceae","PSYCHO","PSYCHO","PSYCHO","SL","S","S","H hierba","H"
"736","si","Psychotria 'dracula'","Psychotria 'dracula'","Psychotria 'dracula'","","PSYCDR","Rubiaceae","Rubiaceae","Rubiaceae","PSYCDR","PSYCDR","PSYCDR","SL","S","S","H hierba","S"
"737","si","Psychotria gracilenta","Psychotria sp. E","Psychotria gracilenta","","PSYC_E","Rubiaceae","Rubiaceae","Rubiaceae","PSYCBR","PSYCBR","PSYCBR","SL","S","","S","S"
"738","si","Psychotria huampamiensis","Psychotria huampamiensis","Psychotria huampamiensis","","PSYCHU","Rubiaceae","Rubiaceae","Rubiaceae","PSYCHU","PSYCHU","PSYCHU","SL","S","S","S","S"
"739","si","Psychotria poeppigiana","Psychotria poeppigiana","Psychotria poeppigiana","","PSYCPO","Rubiaceae","Rubiaceae","Rubiaceae","PSYCPO","PSYCPO","PSYCPO","SL","S","S","S","S"
"740","si","Notopleura polyphlebia","Psychotria polyphlebia","Notopleura polyphlebia","","PSYCP1","Rubiaceae","Rubiaceae","Rubiaceae","","","","SS","","","H-no lenosa","S"
"741","si","Psychotria remota","Psychotria remota","Psychotria remota","","PSYCRE","Rubiaceae","Rubiaceae","Rubiaceae","PSYCRE","PSYCRE","PSYCRE","SL","S","S","S","S"
"742","si","Psychotria romolerouxiana","Psychotria 'ondulada'","Psychotria romolerouxiana","","PSYCON","Rubiaceae","Rubiaceae","Rubiaceae","PSYCON","PSYCON","PSYCON","SL","S","S","S",""
"743","si","Psychotria sacciformis","Psychotria borjensis","Psychotria sacciformis","","PSYCBO","Rubiaceae","Rubiaceae","Rubiaceae","PSYCBO","PSYCBO","PSYCBO","SL","S","S","S","S"
"744","si","Psychotria sp. D","Psychotria sp. D","Psychotria sp. D","","PSYC_D","Rubiaceae","Rubiaceae","Rubiaceae","","","","S?","","","S","S"
"745","si","Psychotria sp. G","Psychotria sp. G","Psychotria sp. G","","PSYC_G","Rubiaceae","Rubiaceae","Rubiaceae","","","","S?","","","S","S"
"746","si","Psychotria sp. H","Psychotria sp. H","Psychotria sp. H","","PSYC_H","Rubiaceae","Rubiaceae","Rubiaceae","","","","S?","","","S","S"
"747","si","Psychotria sp. U","Psychotria sp. U","Psychotria sp. U","","PSYC_U","Rubiaceae","Rubiaceae","Rubiaceae","","","","S?","","","S","S"
"748","si","Psychotria sp. V","Psychotria sp. V","Psychotria sp. V","","PSYC_V","Rubiaceae","Rubiaceae","Rubiaceae","","","","S?","","","S","S"
"749","si","Psychotria sp. X","Psychotria sp. X","Psychotria sp. X","","PSYC_X","Rubiaceae","Rubiaceae","Rubiaceae","","","","S?","","","S","S"
"750","si","Psychotria stenostachya (incl. racemosa?)","Psychotria stenostachya","Psychotria stenostachya {?incl. racemosa}","","PSYCST","Rubiaceae","Rubiaceae","Rubiaceae","PSYCST","PSYCST","PSYCST","SL","S","S","S","S"
"751","si","Psychotria tenuifolia","Psychotria 'robin'","Psychotria tenuifolia","","PSYCRO","Rubiaceae","Rubiaceae","Rubiaceae","PSYCRO","PSYCRO","PSYCRO","SL","S","S","S","S"
"752","si","Psychotria viridis","Psychotria viridis","Psychotria viridis","","PSYCVI","Rubiaceae","Rubiaceae","Rubiaceae","PSYCVI","PSYCVI","PSYCVI","SL","S","S","",""
"753","si","Rubiaceae sp. Q","Rubiaceae sp. Q","Rubiaceae sp. Q","","RUB_Q","Rubiaceae","Rubiaceae","Rubiaceae","","","","-","","","",""
"754","si","Rudgea japurensis","Rudgea 'mini'","Rudgea japurensis","","RUDGMI","Rubiaceae","Rubiaceae","Rubiaceae","RUDGJA","RUDGJA","RUDGJA","SL","S","S","S","S"
"755","si","Rudgea 'micro'","Rudgea 'micro'","Rudgea 'micro'","","RUDGM1","Rubiaceae","Rubiaceae","Rubiaceae","","","","SS","","","S [?H]","S"
"756","si","Calycophyllum megistocaulum (Semaphyllanthe megistocaula )","Calycophyllum megistocaulum","Calycophyllum megistocaulum","","CAL4ME","Rubiaceae","Rubiaceae","Rubiaceae","CALCME","CALCME","CALCME","TC","T","T","T","T"
"757","si","Simira cordifolia","Simira cordifolia","Simira cordifolia","","SIM3CO","Rubiaceae","Rubiaceae","Rubiaceae","SIMICO","SIMICO","SIMICO","TC","T","T","T",""
"758","si","Simira rubescens","Simira 'rube'","Simira rubescens","","SIM3RU","Rubiaceae","Rubiaceae","Rubiaceae","SIMIRU","SIMIRU","SIMIRU","TC","T","T","T",""
"759","si","Tocoyena williamsii","Tocoyena 'burnham'","Tocoyena williamsii","","TOCOBU","Rubiaceae","Rubiaceae","Rubiaceae","TOCOBU","TOCOBU","TOCOBU","TC","T","M","T","U"
"760","si","Uncaria cf. tomentosa","Uncaria sp. A","Uncaria sp. A","","UNCA_A","Rubiaceae","Rubiaceae","Rubiaceae","","","","CW","","","V-lenosa","L"
"761","si","Warszewiczia cordata","Warszewiczia cordata","Warszewiczia cordata","","WARSCO","Rubiaceae","Rubiaceae","Rubiaceae","WARSCO","WARSCO","WARSCO","TC","T","T","T","T"
"762","si","Wittmackanthus stanleyanus","Wittmackanthus stanleyanus","Wittmackanthus stanleyanus","","WITTST","Rubiaceae","Rubiaceae","Rubiaceae","WITTST","WITTST","WITTST","TC","T","T","T","T"
"763","si","Esenbeckia amazonica","Esenbeckia amazonica","","","ESENAM","Rutaceae","Rutaceae","Rutaceae","ESENAM","ESENAM","ESENAM","TM","M","M","M","U"
"764","si","Zanthoxylum 'margland'","Zanthoxylum 'margland'","","","ZANTMA","Rutaceae","Rutaceae","Rutaceae","ZANTMA","ZANTMA","ZANTMA","TU","U","U","M","U"
"765","si","Zanthoxylum sp. B","Zanthoxylum sp. B","","","ZANT_B","Rutaceae","Rutaceae","Rutaceae","","","","T?","","","S",""
"766","si","Zanthoxylum sp. C","Zanthoxylum sp. C","","","ZANT_C","Rutaceae","Rutaceae","Rutaceae","","","","T?","","","S",""
"767","si","Zanthoxylum sp. D","Zanthoxylum sp. D","","","ZANT_D","Rutaceae","Rutaceae","Rutaceae","","","","T?","","","S",""
"768","si","Zanthoxylum sp. E","Zanthoxylum sp. E","","","ZANT_E","Rutaceae","Rutaceae","Rutaceae","","","","T?","","","S",""
"769","si","Zanthoxylum 'brillante' (aff. sprucei)","Zanthoxylum 'brillante'","","","ZANTBR","Rutaceae","Rutaceae","Rutaceae","ZANTBR","ZANTBR","ZANTBR","TM","M","M","M","T"
"770","si","Meliosma 'doly'","Meliosma 'doly'","","","MELIDO","Sabiaceae","Sabiaceae","Sabiaceae","MELIDO","MELIDO","MELIDO","TC","T","T","T","U"
"771","si","Ophiocaryon heterophyllum","Ophiocaryon heterophyllum","","","OPHIHE","Sabiaceae","Sabiaceae","Sabiaceae","OPHIHE","OPHIHE","OPHIHE","TU","U","S","M","U"
"772","si","Acanthosyris annonagustata","Acanthosyris annonagustata","","","ACANAN","Santalaceae","Santalaceae","Santalaceae","ACANAN","ACANAN","ACANAN","TM","M","M","M",""
"773","si","Allophylus amazonicus","Allophylus 'arcorden'","","","ALLOAR","Sapindaceae","Sapindaceae","Sapindaceae","ALLOAM","ALLOAM","ALLOAM","TM","M","T","M","M"
"774","si","Allophylus divaricatus","Allophylus 'scabrid'","","","ALLOSC","Sapindaceae","Sapindaceae","Sapindaceae","ALLOSC","ALLOSC","ALLOSC","TM","M","M","M","U"
"775","si","Allophylus pilosus","Allophylus pilosus","","","ALLOPI","Sapindaceae","Sapindaceae","Sapindaceae","ALLOPI","ALLOPI","ALLOPI","TU","U","U","U","S"
"776","si","Allophylus 'glabra' (cf. punctatus)","Allophylus 'glabra'","","","ALLOGL","Sapindaceae","Sapindaceae","Sapindaceae","ALLOGL","ALLOGL","ALLOPU","TM","M","M","M","U"
"777","si","Allophylus sp. A","Allophylus sp. A","","","ALLO_A","Sapindaceae","Sapindaceae","Sapindaceae","","","","T?","","","S",""
"778","si","Cupania livida","Cupania livida","","","CUPALI","Sapindaceae","Sapindaceae","Sapindaceae","CUPALI","CUPALI","CUPALI","TC","T","T","T","M"
"779","si","Matayba 'ocho'","Matayba 'ocho'","","","MATA8","Sapindaceae","Sapindaceae","Sapindaceae","MATAOC","MATAOC","MATAOC","TC","T","T","T",""
"780","si","Melicocus novogranatensis","Talisia 'novogranatensis'","","","TALINO","Sapindaceae","Sapindaceae","Sapindaceae","MELCNG","MELCNG","MELCNG","TM","M","T","T",""
"781","si","Paullinia bracteosa","Paullinia bracteosa","","","PAULB1","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","V","V-lenosa",""
"782","si","Paullinia 'falso-alsmithii'","Paullinia sp. M","","","PAUL_M","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"783","si","Paullinia hispida","Paullinia sp. D","","","PAUL_D","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"784","si","Paullinia pachycarpa","Paullinia pachycarpa","","","PAULPA","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","V","V-lenosa",""
"785","si","Paullinia rufescens","Paullinia rufescens","","","PAULRU","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"786","si","Paullinia simulans","Paullinia simulans","","","PAULSI","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","V","V-lenosa",""
"787","si","Paullinia sp. B (cf. bilobulata)","Paullinia sp. B","","","PAUL_B","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"788","si","Paullinia sp. E (cf. fissistipula)","Paullinia sp. E","","","PAUL_E","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"789","si","Paullinia sp. H","Paullinia sp. H","","","PAUL_H","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"790","si","Paullinia sp. R","Paullinia sp. R","","","PAUL_R","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"791","si","Paullinia sp. S (cf. faginea)","Paullinia sp. S","","","PAUL_S","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"792","si","Paullinia sp. T","Paullinia sp. T","","","PAUL_T","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"793","si","Paullinia sp. U","Paullinia sp. U","","","PAUL_U","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"794","si","Paullinia sp. V","Paullinia sp. V","","","PAUL_V","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"795","si","Paullinia tricornis","Paullinia tricornis","","","PAULTR","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"796","si","Serjania sp. C","Serjania sp. C","","","SERJ_C","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"797","si","Serjania sp. E","Serjania sp. E","","","SERJ_E","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"798","si","Serjania sp. F (cf. circumvallata)","Serjania sp. F","","","SERJ_F","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"799","si","Serjania sp. T","Serjania sp. T","","","SERJ_T","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"800","si","Talisia 'gigapulvi'","Talisia 'gigapulvi'","","","TALIGI","Sapindaceae","Sapindaceae","Sapindaceae","TALIGI","TALIGI","TALIGI","TM","M","M","M","U"
"801","si","Thinouia cf. myriantha","Thinouia sp. F","","","THIN_F","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"802","si","Thinouia cf. obliqua","Thinouia sp. H","","","THIN_H","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"803","si","Thinouia sp. B","Thinouia sp. B","","","THIN_B","Sapindaceae","Sapindaceae","Sapindaceae","","","","CW","","","V-lenosa",""
"804","si","Chrysophyllum amazonicum","Chrysophyllum 'lucent'","","","CHR2LU","Sapotaceae","Sapotaceae","Sapotaceae","CHRYAM","CHRYAM","CHRYAM","TC","T","T","T",""
"805","si","Chrysophyllum argenteum subsp. auratum [C. argenteum]","Chrysophyllum argenteum","","","CHR2AR","Sapotaceae","Sapotaceae","Sapotaceae","CHRYAR","CHRYAR","CHRYAR","SL","S","S","U",""
"806","si","Chrysophyllum cuneifolium","Chrysophyllum colombianum","","","CHR2CO","Sapotaceae","Sapotaceae","Sapotaceae","CHRYCU","CHRYCU","CHRYCU","TM","M","M","M","U"
"807","si","Chrysophyllum manaosense","Chrysophyllum 'vero'","","","CHR2V2","Sapotaceae","Sapotaceae","Sapotaceae","CHRYMA","CHRYMA","CHRYMA","TC","T","T","M",""
"808","si","Chrysophyllum 'minor'","Chrysophyllum 'minor'","","","CHR2MI","Sapotaceae","Sapotaceae","Sapotaceae","CHRYMI","CHRYMI","CHRYMI","TC","T","T","M",""
"809","si","Chrysophyllum venezuelanense","Chrysophyllum venezuelanense","","","CHR2V1","Sapotaceae","Sapotaceae","Sapotaceae","CHRYVE","CHRYVE","CHRYVE","TC","T","T","T",""
"810","si","Elaeoluma glabrescens","Elaeoluma glabrescens","","","ELA2GL","Sapotaceae","Sapotaceae","Sapotaceae","ELAEGL","ELAEGL","ELAEGL","TC","T","T","T",""
"811","si","Micropholis brochidodroma","Micropholis 'mini'","","","MICRMI","Sapotaceae","Sapotaceae","Sapotaceae","MICRBR","MICRBR","MICRBR","TC","T","T","T","M"
"812","si","Micropholis egensis","Micropholis melinoniana","","","MICRME","Sapotaceae","Sapotaceae","Sapotaceae","MICREG","MICREG","MICREG","TM","M","T","M","U"
"813","si","Micropholis guyanensis subsp. duckeana","Micropholis guyanensis","","","MICRGU","Sapotaceae","Sapotaceae","Sapotaceae","MICRDU","MICRDU","MICRDU","TC","T","T","T","M"
"814","si","Pouteria baehniana","Pouteria baehniana","","","POUTBA","Sapotaceae","Sapotaceae","Sapotaceae","POUTBA","POUTBA","POUTBA","TM","M","M","M","U"
