"","name","found","family"
"552","pouteriasp5","TRUE","Sapotaceae"
"553","bignoniaceaesp17","TRUE","Bignoniaceae"
"554","trichiliaseptentrionalis","TRUE","Meliaceae"
"555","cymbopetalumrf","TRUE","Annonaceae"
"556","ingasp1","TRUE","Fabaceae"
"557","serjaniasp2","TRUE","Sapindaceae"
"558","pouteriasp6","TRUE","Sapotaceae"
"559","mollinediarf8323","TRUE","Monimiaceae"
"560","bignoniaceaesptiny","TRUE","Bignoniaceae"
"561","salaciajuruana","TRUE","Celastraceae"
"562","ingasemialata","TRUE","Fabaceae"
"563","dussiatessmannii","TRUE","Fabaceae"
"564","protiumsagotianum","TRUE","Burseraceae"
"565","sterculiasp1","TRUE","Malvaceae"
"566","tryginaeaduckeii","TRUE","Annonaceae"
"567","neeaspruceanum","TRUE","Nyctaginaceae"
"568","hirtellaracemosa","TRUE","Chrysobalanaceae"
"569","protiumsp2","TRUE","Burseraceae"
"570","acaciamacrantha","TRUE","Fabaceae"
"571","chrysobalanaceaesp1","TRUE","Chrysobalanaceae"
"572","davillanitida","TRUE","Dilleniaceae "
"573","swartziaspyellowaril","TRUE","Fabaceae"
"574","rubiaceaesp1","TRUE","Rubiaceae"
"575","cecropiasp2","TRUE","Urticaceae"
"577","heteropsissp1","TRUE","Araceae"
"578","lauraceaesp13","TRUE","Lauraceae"
"579","paulliniaelegans","TRUE","Sapindaceae"
"581","connaruspatrisii","TRUE","Connaraceae"
"582","annonasp2","TRUE","Annonaceae"
"584","pouteriasp2","TRUE","Sapotaceae"
"585","neeachloranthacf","TRUE","Nyctaginaceae"
"586","asteraceaesp1","TRUE","Asteraceae"
"587","endlicheriasp1","TRUE","Lauraceae"
"588","guatteriasp6","TRUE","Annonaceae"
"589","bignoniaceaesp47","TRUE","Bignoniaceae"
"590","guatteriascytophylla","TRUE","Annonaceae"
"591","phyllocarpusriedelii","TRUE","Fabaceae"
"592","guraniasp","TRUE","Cucurbitaceae"
"593","bignoniaceaesp50","TRUE","Bignoniaceae"
"594","bignoniaceaesp48","TRUE","Bignoniaceae"
"595","farameasp1","TRUE","Rubiaceae"
"596","hyospathesp","TRUE","Arecaceae"
"597","rynchosiasp","TRUE","Malpighiaceae"
"598","calatolavenezolana","TRUE","Icacinaceae"
"599","acaciasp10","TRUE","Fabaceae"
"600","bignoniaceaesp51","TRUE","Bignoniaceae"
"601","lauraceaesp12","TRUE","Lauraceae"
"602","bignoniaceaesp57","TRUE","Bignoniaceae"
"603","psychotriasp6","TRUE","Rubiaceae"
"604","menispermaceaesp1","TRUE","Menispermaceae"
"605","lycianthessp1","TRUE","Solanaceae"
"606","bignoniaceaesp5","TRUE","Bignoniaceae"
"607","bignoniaceaesp3","TRUE","Bignoniaceae"
"608","salaciamacrantha","TRUE","Celastraceae"
"609","heliconiamarginata","TRUE","Heliconiaceae"
"610","ingadensifloraaff","TRUE","Fabaceae"
"611","coccolobasp2","TRUE","Polygonaceae"
"615","platymisciumsp1","TRUE","Fabaceae"
"616","ingamathewsii","TRUE","Fabaceae"
"617","ingasp5","TRUE","Fabaceae"
"619","micropholissp","TRUE","Sapotaceae"
"623","micaniamicrantha","TRUE","Asteraceae"
"624","tabernaemontanasp","TRUE","Apocynaceae"
"625","salaciaopacifolia","TRUE","Celastraceae"
"626","byttneriacatalpaefolia","TRUE","Malvaceae"
"627","serjaniasp5","TRUE","Sapindaceae"
"628","serjaniasp4","TRUE","Sapindaceae"
"630","guraniasp1","TRUE","Cucurbitaceae"
"631","capparidaceaespamarilla","TRUE","Capparaceae"
"632","licaniabritteniana","TRUE","Chrysobalanaceae"
"633","moraceaesp","TRUE","Moraceae"
"634","calyptranthes","TRUE","Myrtaceae"
"635","flacourtaceaesp","TRUE","Salicaceae"
"636","casimirellasp","TRUE","Icacinaceae"
"637","pouteriasp7","TRUE","Sapotaceae"
"638","rubiaceaesp2","TRUE","Rubiaceae"
"639","maynaparvifolia","TRUE","Achariaceae"
"640","cordiaucayalensis","TRUE","Boraginaceae"
"641","rolliniasp","TRUE","Annonaceae"
"642","farameaharmsiana","TRUE","Rubiaceae"
"643","ampelocera","TRUE","Ulmaceae"
"644","solanumsp","TRUE","Solanaceae"
"645","annonasp","TRUE","Annonaceae"
"646","orthionsp","TRUE","Violaceae"
"647","odontocaryasp2","TRUE","Menispermaceae"
"648","acanthaceae","TRUE","Acanthaceae"
"649","farameasp1","TRUE","Rubiaceae"
"650","mollinediaracemosa","TRUE","Monimiaceae"
"651","maytenusebenifolia","TRUE","Celastraceae"
"652","socrateaexorriza","TRUE","Arecaceae"
"653","banisteriopsismuricata","TRUE","Malpighiaceae"
"654","clytostomasp","TRUE","Bignoniaceae"
"655","brosimumsp","TRUE","Moraceae"
"656","ingabourgonii","TRUE","Fabaceae"
