"","name","found","family"
"128","celtisschippii","TRUE","Cannabaceae"
"129","ampeloceraruizii","TRUE","Ulmaceae"
"130","thinouiaobliqua","TRUE","Sapindaceae"
"131","quararibeaochracalyx","TRUE","Malvaceae"
"132","guareakunthiana","TRUE","Meliaceae"
"133","cordiasp2","TRUE","Boraginaceae"
"134","neea5005","TRUE","Nyctaginaceae"
"135","crotontessmannii","TRUE","Euphorbiaceae"
"136","ingaacreana","TRUE","Fabaceae"
"137","attaleabutyracea","TRUE","Arecaceae"
"138","brosimumlactescens","TRUE","Moraceae"
"139","siparunasp2","TRUE","Siparunaceae"
"140","tetrapterissp1","TRUE","Malpighiaceae"
"141","caseariasp3","TRUE","Salicaceae"
"142","anthodondecussatum","TRUE","Celastraceae"
"143","stigmaphyllonsp2","TRUE","Malpighiaceae"
"144","picramniasp2","TRUE","Picramniaceae"
"145","ocoteacernua","TRUE","Lauraceae"
"146","cissusulmifolia","TRUE","Ulmaceae"
"147","byrsonimaarthropoda","TRUE","Malpighiaceae"
"148","cissuserosa","TRUE","Ulmaceae"
"149","bignoniaceaesp55","TRUE","Bignoniaceae"
"150","acaciasp16","TRUE","Fabaceae"
"151","combretumsp1","TRUE","Combretaceae"
"152","machaeriumsp1","TRUE","Fabaceae"
"153","ingaciliata","TRUE","Fabaceae"
"154","hiraeasp1","TRUE","Malpighiaceae"
"155","ficussp1","TRUE","Moraceae"
"156","mikaniasp","TRUE","Asteraceae"
"157","mascagniamacrophylla","TRUE","Malpighiaceae"
"158","agonandrabrasiliensis","TRUE","Opiliaceae"
"159","duguetiaspixiana","TRUE","Annonaceae"
"160","ruizodendronovale","TRUE","Annonaceae"
"161","smilaxsp2","TRUE","Smilacaceae"
"162","odontadeniasp","TRUE","Apocynaceae"
"163","mouririsp","TRUE","Melastomataceae"
"164","mabeamaynensis","TRUE","Euphorbiaceae"
"165","celtissp1","TRUE","Cannabaceae"
"166","loranthaceaesp2","TRUE","Loranthaceae"
"167","prunusvana","TRUE","Rosaceae"
"168","miconiaaffinis","TRUE","Melastomataceae"
"169","fabaceaesp2","TRUE","Fabaceae"
"170","mascagniadivaricata","TRUE","Malpighiaceae"
"172","huerteaglandulosa","TRUE","Staphyleaceae"
"175","prestoniasp2","TRUE","Apocynaceae"
"176","copaiferareticulata","TRUE","Fabaceae"
"178","acalyphasp","TRUE","Euphorbiaceae"
"179","strychnostarapotensis","TRUE","Loganiaceae"
"180","coussapoasp","TRUE","Urticaceae"
"181","chrysophyllumvenezuelanense","TRUE","Sapotaceae"
"182","paullinialargifolia","TRUE","Sapindaceae"
"183","sloaneaobtusifolia","TRUE","Elaeocarpaceae"
"184","chrysophyllumsp","TRUE","Sapotaceae"
"185","siparunadecipiens","TRUE","Siparunaceae"
"186","swieteniamacrophylla","TRUE","Meliaceae"
"187","ceibasamauma","TRUE","Malvaceae"
"188","miconiasp1","TRUE","Melastomataceae"
"189","orchidaceaesp1","TRUE","Orchidaceae"
"190","byttneriapescapraeifolia","TRUE","Malvaceae"
"191","calophyllumbrasiliense","TRUE","Calophyllaceae"
"192","ficusspbig","TRUE","Moraceae"
"193","guettardaaromatica","TRUE","Rubiaceae"
"194","cecropiaceasp1","TRUE","Urticaceae"
"195","trichiliamaynasiana","TRUE","Meliaceae"
"196","roureasp","TRUE","Connaraceae"
"197","aegiphilahaughtii","TRUE","Verbenaceae"
"198","dipteryxmicrantha","TRUE","Fabaceae"
"199","byttneriaasterotricha","TRUE","Malvaceae"
"200","borismenejapurensis","TRUE","Menispermaceae"
"201","lauraceaesp","TRUE","Lauraceae"
"202","sciadoteniatoxifera","TRUE","Menispermaceae"
"203","randiaarmata","TRUE","Rubiaceae"
"204","neeasp1","TRUE","Nyctaginaceae"
"206","pouteriapseudephedrantha","TRUE","Sapotaceae"
"207","zizyphuscinnamomum","TRUE","Rhamnaceae"
"208","ficusschulttesi","TRUE","Moraceae"
"209","clavijasp","TRUE","Primulaceae"
"210","bignoniaceaesp54","TRUE","Bignoniaceae"
"211","myrtaceaesp1","TRUE","Myrtaceae"
"212","sparantheliumtarapotanum","TRUE","Hernandiaceae"
"213","lauraceaesp2","TRUE","Lauraceae"
"214","hiperbaenadominguensis","TRUE","Menispermaceae"
"215","bignoniaceaesp28","TRUE","Bignoniaceae"
"216","ocoteaoblonga","TRUE","Lauraceae"
"217","pouroumaminor","TRUE","Urticaceae"
"218","mascagniasp2","TRUE","Malpighiaceae"
"219","pacouriaboliviensis","TRUE","Apocynaceae"
"220","psyttacanthuscucullaris","TRUE","Loranthaceae"
"221","malpighiaceaesp","TRUE","Malpighiaceae"
"222","marsdeniamacrophylla","TRUE","Apocynaceae"
"223","klarobeliacandida","TRUE","Annonaceae"
"224","combretumleprosum","TRUE","Combretaceae"
"225","oenocarpusbataua","TRUE","Arecaceae"
"226","protiumsp1","TRUE","Burseraceae"
"227","xylopialigustrifolia","TRUE","Annonaceae"
