"","Species","Found","Dispersal"
"4","iriarteadeltoidea","TRUE",3
"7","calycophyllumspruceanum","TRUE",5
"11","trichiliaelegans","TRUE",1
"14","rinoreaviridifolia","TRUE",2
"15","lonchocarpusspiciflorus","TRUE",5
"17","abutagrandifolia","TRUE",2
"20","quiinaperuviana","TRUE",2
"21","heisteriaacuminata","TRUE",1
"22","maytenusmagnifolia","TRUE",1
"23","malmeadielsiana","TRUE",2
"29","caraipadensifolia","TRUE",5
"38","pseudolmedialaevis","TRUE",3
"41","xylosmaintermedium","TRUE",2
"45","duguetiaquitarensis","TRUE",2
"46","astrocaryummurumuru","TRUE",4
"47","hasseltiafloribunda","TRUE",1
"49","oxandraacuminata","TRUE",2
"50","trichiliapleeana","TRUE",3
"51","oxandraespintana","TRUE",3
"54","clarisiaracemosa","TRUE",3
"57","chrysochlamysulei","TRUE",1
"59","spondiasmombin","TRUE",3
"61","ingachartacea","TRUE",3
"62","euterpeprecatoria","TRUE",3
"65","brosimumalicastrum","TRUE",3
"69","myrciariaamazonica","TRUE",1
"70","guazumacrinita","TRUE",5
"74","pseudomalmeadiclina","TRUE",3
"76","quararibeawittii","TRUE",3
"81","jacaratiadigitata","TRUE",3
"82","trichiliapoeppigii","TRUE",6
"87","nectandrapulverulenta","TRUE",3
"94","virolasebifera","TRUE",3
"97","iryantherajuruensis","TRUE",3
"99","otobaparvifolia","TRUE",6
"100","pouteriapariry","TRUE",3
"101","aspidospermamegaphyllum","TRUE",5
"104","ficusmaxima","TRUE",3
"105","virolacalophylla","TRUE",3
"107","apeibamembranacea","TRUE",3
"108","theobromacacao","TRUE",2
"114","allophylusglabratus","TRUE",1
"117","gallesiaintegrifolia","TRUE",2
"121","terminaliaoblonga","TRUE",4
"122","guareamacrophylla","TRUE",1
"123","cordianodosa","TRUE",2
"124","guatteriaacutissima","TRUE",3
"127","celtisschippii","TRUE",1
"128","ampeloceraruizii","TRUE",3
"131","guareakunthiana","TRUE",1
"134","crotontessmannii","TRUE",2
"135","ingaacreana","TRUE",3
"137","brosimumlactescens","TRUE",3
"144","ocoteacernua","TRUE",3
"152","ingaciliata","TRUE",3
"157","agonandrabrasiliensis","TRUE",3
"159","ruizodendronovale","TRUE",3
"163","mabeamaynensis","TRUE",2
"166","prunusvana","TRUE",3
"171","huerteaglandulosa","TRUE",3
"175","copaiferareticulata","TRUE",1
"180","chrysophyllumvenezuelanense","TRUE",3
"184","siparunadecipiens","TRUE",1
"197","dipteryxmicrantha","TRUE",6
"202","randiaarmata","TRUE",3
"206","zizyphuscinnamomum","TRUE",3
"215","ocoteaoblonga","TRUE",3
"216","pouroumaminor","TRUE",3
"222","klarobeliacandida","TRUE",2
"236","turpiniaoccidentalis","TRUE",3
"240","leoniaglycycarpa","TRUE",2
"246","matisiacordata","TRUE",3
"249","ingaruiziana","TRUE",3
"250","ixoraperuviana","TRUE",1
"256","neearf11941","TRUE",1
"257","heisteriaovata","TRUE",1
"258","pouteriaephedrantha","TRUE",4
"270","diospyrossubrotata","TRUE",3
"281","cheilocliniumcognatum","TRUE",2
"295","caseariaaculeata","TRUE",1
"296","matisiarhombifolia","TRUE",3
"302","richeriagrandis","TRUE",1
"306","clarisiabiflora","TRUE",6
"313","ingapunctata","TRUE",3
"323","swartziamyrtifolia","TRUE",3
"324","unonopsismathewsii","TRUE",2
"329","guapirarf11340","TRUE",3
"330","ingastipularis","TRUE",3
"331","inganobilis","TRUE",3
"337","batocarpusamazonicus","TRUE",3
"348","nectandralongifolia","TRUE",3
"352","soroceapileata","TRUE",3
"353","ingaklugii","TRUE",2
"355","rhamnidiumelaeocarpum","TRUE",1
"378","heisterianitida","TRUE",1
"379","chrysophyllumargenteum","TRUE",3
"381","ingaedulis","TRUE",3
"426","coccolobaperuviana","TRUE",1
"439","unonopsisfloribunda","TRUE",3
"472","calatolamicrocarpa","TRUE",2
"475","triplarisamericana","TRUE",5
"491","pterocarpusrohrii","TRUE",5
"498","trichiliaquadrijuga","TRUE",1
"530","capparismacrophylla","TRUE",2
"539","himatanthussucuuba","TRUE",5
"545","protiumtenuifolium","TRUE",3
"553","trichiliaseptentrionalis","TRUE",3
"607","salaciamacrantha","TRUE",2
"631","licaniabritteniana","TRUE",6
"638","maynaparvifolia","TRUE",1
"645","orthionsp","TRUE",1
"649","mollinediaracemosa","TRUE",1
"650","maytenusebenifolia","TRUE",1
